DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2025,ES,1,ES21,1,623.81237,1,3,1
2025,ES,2,ES21,1,279.26707,1,3,1
2025,ES,3,ES21,1,719.41894,1,3,1
2025,ES,4,ES21,1,261.64358,1,3,1
2025,ES,5,ES21,1,655.08727,1,3,1
2025,ES,6,ES21,1,719.41894,1,3,1
2025,ES,7,ES21,1,557.79718,1,1,1
2025,ES,8,ES21,1,866.40634,1,1,1
2025,ES,9,ES21,1,293.45173,1,1,1
2025,ES,10,ES21,1,906.56415,1,1,1
2025,ES,11,ES21,1,574.06148,1,1,1
2025,ES,12,ES21,1,371.62258,1,1,1
2025,ES,13,ES21,1,430.23516,1,1,1
2025,ES,14,ES21,1,895.63343,1,1,1
2025,ES,15,ES21,1,1000.47507,1,1,1
2025,ES,16,ES42,1,1579.73022,1,1,1
2025,ES,17,ES61,1,885.51299,1,2,1
2025,ES,18,ES42,1,563.81281,1,1,1
2025,ES,19,ES42,1,455.73282,1,1,1
2025,ES,20,ES42,1,1374.22942,1,1,1
2025,ES,21,ES42,1,272.99257,1,1,1
2025,ES,22,ES42,1,313.23018,1,1,1
2025,ES,24,ES42,1,453.66080,1,1,1
2025,ES,25,ES42,1,612.73233,1,1,1
2025,ES,26,ES42,1,1768.89530,1,1,1
2025,ES,27,ES42,1,412.85722,1,1,1
2025,ES,28,ES42,1,724.00141,1,1,1
2025,ES,29,ES42,1,1788.21858,1,1,1
2025,ES,31,ES42,1,289.24895,1,1,1
2025,ES,32,ES42,1,244.50750,1,1,1
2025,ES,33,ES42,1,313.23018,1,1,1
2025,ES,34,ES42,1,224.43475,1,1,1
2025,ES,35,ES42,1,1413.84231,1,1,1
2025,ES,36,ES42,1,377.08569,1,1,1
2025,ES,37,ES42,1,390.96969,1,2,1
2025,ES,38,ES42,1,427.09388,1,2,1
2025,ES,39,ES42,1,826.16681,1,2,1
2025,ES,40,ES42,1,820.60127,1,2,1
2025,ES,41,ES42,1,974.43322,1,2,1
2025,ES,42,ES42,1,317.32832,1,2,1
2025,ES,43,ES42,1,473.12362,1,2,1
2025,ES,44,ES42,1,304.38303,1,2,1
2025,ES,45,ES42,1,1441.35603,1,3,1
2025,ES,46,ES42,1,476.21532,1,3,1
2025,ES,47,ES42,1,1716.20680,1,3,1
2025,ES,48,ES42,1,170.39370,1,3,1
2025,ES,49,ES42,1,657.91161,1,3,1
2025,ES,50,ES42,1,950.13406,1,3,1
2025,ES,51,ES42,1,1916.61235,1,3,1
2025,ES,52,ES42,1,395.67087,1,3,1
2025,ES,53,ES42,1,283.93063,1,1,1
2025,ES,54,ES42,1,281.34575,1,1,1
2025,ES,55,ES52,1,1569.15678,1,1,1
2025,ES,56,ES52,1,1204.33848,1,1,1
2025,ES,57,ES52,1,962.65842,1,1,1
2025,ES,58,ES52,1,2108.36241,1,1,1
2025,ES,59,ES52,1,1517.74151,1,1,1
2025,ES,60,ES52,1,758.73954,1,1,1
2025,ES,62,ES52,1,1216.31923,1,1,1
2025,ES,63,ES52,1,1388.98041,1,1,1
2025,ES,64,ES52,1,1317.21629,1,1,1
2025,ES,65,ES52,1,1196.97796,1,1,1
2025,ES,66,ES52,1,769.89508,1,1,1
2025,ES,67,ES30,1,1249.20371,1,1,1
2025,ES,68,ES52,1,494.36672,1,1,1
2025,ES,69,ES52,1,979.84898,1,1,1
2025,ES,70,ES52,1,308.80566,1,1,1
2025,ES,71,ES52,1,411.58496,1,1,1
2025,ES,72,ES52,1,1226.30956,1,1,1
2025,ES,73,ES52,1,1685.52444,1,1,1
2025,ES,74,ES52,1,1529.44396,1,1,1
2025,ES,75,ES52,1,823.40135,1,1,1
2025,ES,76,ES52,1,1561.94679,1,1,1
2025,ES,77,ES52,1,1825.46029,1,1,1
2025,ES,78,ES52,1,3002.30502,1,1,1
2025,ES,79,ES52,1,1316.44593,1,1,1
2025,ES,80,ES52,1,603.56638,1,2,1
2025,ES,81,ES52,1,1255.20111,1,2,1
2025,ES,82,ES52,1,360.26091,1,2,1
2025,ES,83,ES52,1,1273.48050,1,2,1
2025,ES,84,ES52,1,926.12776,1,2,1
2025,ES,85,ES52,1,829.08768,1,2,1
2025,ES,86,ES52,1,1013.37919,1,2,1
2025,ES,87,ES52,1,420.94992,1,2,1
2025,ES,88,ES52,1,586.76945,1,2,1
2025,ES,89,ES52,1,1305.27076,1,2,1
2025,ES,90,ES52,1,1680.74972,1,2,1
2025,ES,91,ES52,1,1939.51302,1,2,1
2025,ES,92,ES52,1,633.84129,1,2,1
2025,ES,93,ES52,1,737.52553,1,2,1
2025,ES,94,ES52,1,690.21626,1,2,1
2025,ES,96,ES52,1,2868.73440,1,2,1
2025,ES,97,ES52,1,1039.04779,1,2,1
2025,ES,98,ES52,1,666.37268,1,2,1
2025,ES,99,ES52,1,1189.41332,1,2,1
2025,ES,101,ES52,1,580.29768,1,2,1
2025,ES,102,ES52,1,633.86980,1,2,1
2025,ES,103,ES52,1,1089.53532,1,2,1
2025,ES,104,ES52,1,899.66929,1,2,1
2025,ES,105,ES52,1,893.67776,1,2,1
2025,ES,106,ES52,1,491.17403,1,2,1
2025,ES,107,ES52,1,1458.43096,1,2,1
2025,ES,108,ES52,1,976.74015,1,2,1
2025,ES,109,ES52,1,1098.64795,1,2,1
2025,ES,110,ES52,1,1017.34851,1,2,1
2025,ES,111,ES52,1,799.77697,1,2,1
2025,ES,112,ES52,1,950.71349,1,1,1
2025,ES,113,ES52,1,1100.11101,1,1,1
2025,ES,115,ES52,1,660.63051,1,1,1
2025,ES,116,ES52,1,1008.08604,1,2,1
2025,ES,117,ES52,1,651.67153,1,2,1
2025,ES,118,ES52,1,1402.81138,1,2,1
2025,ES,119,ES52,1,839.93541,1,2,1
2025,ES,120,ES52,1,3499.61151,1,2,1
2025,ES,121,ES52,1,448.77099,1,2,1
2025,ES,122,ES52,1,2487.96792,1,2,1
2025,ES,123,ES52,1,1805.08789,1,2,1
2025,ES,124,ES52,1,1021.43306,1,1,1
2025,ES,125,ES52,1,1142.75307,1,1,1
2025,ES,126,ES52,1,1401.36865,1,1,1
2025,ES,127,ES52,1,847.15953,1,1,1
2025,ES,128,ES52,1,242.64726,1,1,1
2025,ES,129,ES52,1,1098.64795,1,1,1
2025,ES,130,ES52,1,1567.22568,1,1,1
2025,ES,131,ES52,1,799.77697,1,1,1
2025,ES,132,ES52,1,787.26315,1,2,1
2025,ES,133,ES52,1,514.21068,1,2,1
2025,ES,134,ES52,1,1039.49581,1,2,1
2025,ES,136,ES52,1,790.48920,1,2,1
2025,ES,137,ES52,1,2213.41233,1,2,1
2025,ES,138,ES52,1,1994.43516,1,2,1
2025,ES,139,ES52,1,1554.47104,1,1,1
