id_hogar,id_persona,peso_persona,region,grado_urbanizacion,anio_nacimiento,edad,sexo,pais_nacimiento,nacionalidad,situacion_actividad,situacion_profesional,horas_semana,jornada,tipo_contrato,personal_a_cargo,anios_experiencia,meses_desempleo_ref,meses_desempleo_5anios,ocupacion_isco08,sector_cnae,nivel_estudios,estado_salud,enfermedad_cronica,limitacion_actividad,necesito_medico_no_fue,renta_neta_salarial,renta_no_monetaria_salarial,renta_neta_hogar,renta_hogar_indicadores,unidades_consumo,num_miembros_hogar,tipo_hogar,hogar_riesgo_pobreza,hogar_carencia_material,retrasos_hipoteca_alquiler,retrasos_facturas,retrasos_deudas_no_vivienda,capacidad_gastos_imprevistos,capacidad_fin_de_mes,puede_vacaciones,puede_proteina_2dias,tiene_ordenador,tiene_coche,carga_prestamos_no_vivienda,puede_sustituir_muebles,puede_calefaccion_invierno,tipo_vivienda,regimen_tenencia,num_habitaciones,importe_alquiler,gastos_vivienda,cuota_hipoteca,cambio_ingresos_12m,motivo_aumento_ingresos,motivo_disminucion_ingresos,expectativa_ingresos_12m,carga_asistencia_medica,carga_asistencia_dental,carga_medicamentos,baja_intensidad_laboral_2020,arope_2020,carencia_material_social_severa,arope_2030,estres_financiero_alto,renta_hogar_per_capita,ratio_carga_vivienda,precariedad_laboral
376,37601,291.36076,ES30,Zona muy poblada,1985,39,Mujer,España,España,Trabajando,Asalariado,45.0,Tiempo completo,Temporal escrito,Sí,21.0,0.0,3.0,26.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,30871.8,0.0,51427.9,51427.9,2.1,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio reducido,5.0,343.5,531.35,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,24489.47619047619,0.20653800555847088,1
435,43501,1337.1014,ES30,Zona media,1993,31,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,4.0,0.0,0.0,35.0,Información/comunicaciones,Post-secundaria,Muy bueno,No,No limitado,No,38325.3,697.3,66513.1,66513.1,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,4.0,0.0,435.44,1200.0,Han aumentado,Nuevo/cambio empleo,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,36951.722222222226,0.13634022434266657,0
435,43502,1229.60861,ES30,Zona media,1988,36,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,11.0,0.0,0.0,23.0,Educación,Post-secundaria,Muy bueno,No,No limitado,No,25775.0,0.0,66513.1,66513.1,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,4.0,0.0,435.44,1200.0,Han aumentado,Nuevo/cambio empleo,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,36951.722222222226,0.20272667313288067,0
786,78601,1136.07831,ES30,Zona muy poblada,1989,35,Hombre,Extranjero no UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,15.0,0.0,0.0,42.0,Transporte/almacenamiento,Post-secundaria,Muy bueno,Sí,No limitado,No,25194.6,17.5,25099.3,25099.3,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,No (no puede),Con dificultad,No,Sí,Sí,No,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,993.5,1150.6,0.0,Se mantienen,,,Mejorar,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,1,25099.3,0.5480221952323117,0
1760,176001,864.98647,ES30,Zona muy poblada,1965,59,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,40.0,0.0,0.0,33.0,Comercio/reparación vehículos,Hasta primaria,Muy malo,No,Limitado pero no gravemente,No,30436.2,0.0,34200.2,34200.2,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con dificultad,Sí,Sí,No,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Cesión gratuita,5.0,0.0,253.14,0.0,Se mantienen,,,Mejorar,Ninguna carga,No ha utilizado,Una carga razonable,No,No,No,No,0,34200.2,0.09980483766041752,0
1999,199901,751.23349,ES30,Zona muy poblada,2001,23,Mujer,España,España,Trabajando,Asalariado,37.0,Tiempo completo,Indefinido escrito,No,3.0,0.0,0.0,41.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,17625.5,208.2,17569.8,17569.8,1.0,1,Una persona: mujer <30 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No (no puede permitírselo),Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,3.0,870.0,916.14,0.0,Han aumentado,Más horas/salario,,Mantenerse,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,17569.8,0.6237371989447108,0
2542,254201,920.85514,ES30,Zona muy poblada,1983,41,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,25.0,0.0,0.0,61.0,Actividades administrativas,Secundaria 1a etapa,Regular,Sí,No limitado,No,18408.3,0.0,18747.1,18747.1,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,No (no puede permitírselo),Sí,Una carga pesada,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,5.0,200.0,352.03,0.0,Han disminuido,,Otros,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No,0,18747.1,0.22948126660256513,0
2543,254301,2232.61638,ES30,Zona muy poblada,1989,35,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,11.0,0.0,6.0,21.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,22877.8,8.0,23135.8,23135.8,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,179.06,0.0,Han aumentado,Nuevo/cambio empleo,,Mantenerse,Ninguna carga,Una carga razonable,Una carga razonable,No,No,No,No,0,23135.8,0.09392161833742757,0
2545,254501,1930.52823,ES30,Zona muy poblada,1984,40,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,22.0,0.0,0.0,52.0,Comercio/reparación vehículos,,Muy bueno,No,No limitado,No,27922.7,145.0,54079.8,54079.8,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,640.0,785.32,0.0,Se mantienen,,,,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,36053.200000000004,0.33749744831266315,0
2545,254502,2057.60845,ES30,Zona muy poblada,1993,31,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,12.0,0.0,0.0,42.0,Comercio/reparación vehículos,Post-secundaria,Muy bueno,No,No limitado,No,25290.8,0.0,54079.8,54079.8,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,640.0,785.32,0.0,Se mantienen,,,,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,36053.200000000004,0.37261929239090896,0
