ocupacion_isco08,jornada,tipo_contrato,renta_neta_salarial
26.0,Tiempo completo,Indefinido escrito,54782.0
43.0,Tiempo completo,Indefinido escrito,38398.3
96.0,Tiempo parcial,Indefinido escrito,10797.8
83.0,Tiempo completo,Indefinido escrito,17210.6
32.0,Tiempo completo,,21939.3
26.0,Tiempo completo,Indefinido escrito,38522.7
52.0,Tiempo completo,Indefinido escrito,15641.3
51.0,Tiempo parcial,Indefinido escrito,11258.1
13.0,Tiempo completo,Indefinido escrito,48655.1
26.0,Tiempo completo,Indefinido escrito,27276.4
22.0,Tiempo parcial,Indefinido escrito,2921.9
54.0,Tiempo completo,Indefinido escrito,39965.6
61.0,Tiempo completo,Indefinido escrito,15832.4
33.0,Tiempo completo,Indefinido escrito,61327.2
81.0,Tiempo parcial,Indefinido escrito,24294.6
33.0,Tiempo completo,Indefinido escrito,40117.6
83.0,Tiempo completo,Indefinido escrito,24467.5
52.0,Tiempo parcial,Indefinido escrito,15448.9
43.0,Tiempo completo,Indefinido escrito,135929.8
26.0,Tiempo completo,Indefinido escrito,24027.6
34.0,Tiempo completo,Indefinido escrito,61711.5
33.0,Tiempo completo,Indefinido escrito,36084.2
42.0,Tiempo completo,Indefinido escrito,14785.5
43.0,Tiempo completo,Indefinido escrito,28888.9
12.0,Tiempo completo,Indefinido escrito,62551.3
21.0,Tiempo completo,Indefinido escrito,65710.3
22.0,Tiempo completo,Indefinido escrito,25184.6
13.0,Tiempo completo,Indefinido escrito,74649.5
26.0,Tiempo completo,Indefinido escrito,24446.4
33.0,Tiempo completo,Indefinido escrito,30524.4
23.0,Tiempo completo,Indefinido escrito,17132.6
23.0,Tiempo completo,Indefinido verbal,37897.1
43.0,Tiempo completo,Indefinido escrito,31881.9
54.0,Tiempo completo,Indefinido escrito,20298.8
13.0,Tiempo completo,Indefinido escrito,41094.4
52.0,Tiempo completo,Indefinido escrito,10026.4
52.0,Tiempo completo,Indefinido escrito,14636.7
41.0,Tiempo completo,Temporal escrito,39345.5
72.0,Tiempo completo,Indefinido escrito,18978.9
21.0,Tiempo completo,Indefinido escrito,15599.4
33.0,Tiempo completo,Indefinido escrito,76405.2
51.0,Tiempo completo,Indefinido escrito,15593.2
72.0,Tiempo completo,Indefinido escrito,19877.5
51.0,Tiempo completo,Indefinido escrito,23288.2
42.0,Tiempo parcial,Indefinido escrito,9140.6
42.0,Tiempo parcial,Indefinido escrito,13452.0
52.0,Tiempo completo,Indefinido escrito,19582.4
22.0,Tiempo completo,Indefinido escrito,51959.9
33.0,Tiempo completo,Indefinido escrito,39211.3
41.0,Tiempo completo,Indefinido escrito,15658.2
25.0,Tiempo completo,Indefinido escrito,33758.8
35.0,Tiempo completo,Indefinido escrito,49788.4
12.0,Tiempo completo,Indefinido escrito,43663.3
93.0,Tiempo completo,Indefinido escrito,12649.7
32.0,Tiempo completo,Indefinido escrito,13350.2
25.0,Tiempo completo,Indefinido escrito,37896.3
23.0,Tiempo completo,Indefinido escrito,17350.9
93.0,Tiempo completo,Indefinido escrito,16889.2
31.0,Tiempo completo,Indefinido escrito,24392.9
23.0,Tiempo parcial,Temporal escrito,1086.1
42.0,Tiempo completo,Indefinido escrito,25576.4
33.0,Tiempo completo,Indefinido escrito,32829.9
1.0,Tiempo completo,Indefinido escrito,63055.9
35.0,Tiempo completo,Temporal escrito,25167.2
22.0,Tiempo parcial,Indefinido escrito,19732.1
83.0,Tiempo completo,Indefinido escrito,33883.0
42.0,Tiempo completo,Indefinido escrito,23496.3
24.0,Tiempo completo,Indefinido escrito,47066.0
21.0,Tiempo completo,Indefinido escrito,38332.4
42.0,Tiempo completo,Indefinido escrito,24580.0
21.0,Tiempo completo,Indefinido escrito,19602.0
22.0,Tiempo completo,Temporal escrito,26579.9
91.0,Tiempo completo,Indefinido escrito,11385.4
33.0,Tiempo completo,Indefinido escrito,34703.0
74.0,Tiempo completo,Indefinido escrito,19503.1
54.0,Tiempo completo,Indefinido escrito,17624.8
91.0,Tiempo parcial,Indefinido escrito,10351.9
93.0,Tiempo completo,Indefinido escrito,24285.0
21.0,Tiempo completo,Indefinido escrito,31075.6
52.0,Tiempo completo,Indefinido escrito,16469.4
91.0,Tiempo parcial,Indefinido escrito,10679.58
41.0,Tiempo completo,Indefinido escrito,3215.7
54.0,Tiempo completo,Indefinido escrito,20922.2
13.0,Tiempo completo,Indefinido escrito,26986.63
22.0,Tiempo completo,Indefinido escrito,79343.7
74.0,Tiempo completo,Indefinido escrito,16404.9
26.0,Tiempo completo,Indefinido escrito,26602.8
22.0,Tiempo completo,Indefinido escrito,64308.2
42.0,Tiempo completo,Indefinido escrito,16380.3
12.0,Tiempo completo,Indefinido escrito,85024.1
81.0,Tiempo completo,Indefinido escrito,21963.3
22.0,Tiempo parcial,Indefinido escrito,14159.0
23.0,Tiempo completo,Temporal escrito,22000.4
43.0,Tiempo completo,Indefinido escrito,23929.3
25.0,Tiempo completo,Indefinido escrito,31438.5
41.0,Tiempo completo,Indefinido escrito,15384.4
23.0,Tiempo completo,Temporal escrito,27346.8
23.0,Tiempo completo,Indefinido escrito,36809.7
91.0,Tiempo completo,Indefinido escrito,16069.5
26.0,Tiempo completo,Indefinido escrito,47693.0
42.0,Tiempo completo,Indefinido escrito,16312.5
72.0,Tiempo completo,Indefinido escrito,17685.3
21.0,Tiempo completo,Indefinido escrito,61499.4
13.0,Tiempo completo,Indefinido escrito,56252.0
52.0,Tiempo completo,Indefinido escrito,27928.9
35.0,Tiempo completo,Indefinido escrito,20690.5
91.0,Tiempo completo,Indefinido escrito,18251.11
96.0,Tiempo completo,Indefinido escrito,17235.0
21.0,Tiempo completo,Indefinido escrito,48263.3
32.0,Tiempo parcial,Indefinido escrito,14557.6
33.0,Tiempo completo,Indefinido escrito,35241.0
12.0,Tiempo completo,Indefinido escrito,64680.9
26.0,Tiempo completo,Indefinido escrito,32337.1
34.0,Tiempo completo,Indefinido escrito,28688.5
51.0,Tiempo completo,Indefinido escrito,2487.0
35.0,Tiempo completo,Indefinido escrito,19670.5
25.0,Tiempo completo,Indefinido escrito,0.0
54.0,Tiempo completo,Indefinido escrito,20657.0
24.0,Tiempo completo,Indefinido escrito,63663.4
52.0,Tiempo parcial,Indefinido escrito,7112.8
23.0,Tiempo parcial,Temporal escrito,14523.8
54.0,Tiempo completo,Indefinido escrito,20132.7
41.0,Tiempo completo,Indefinido escrito,16590.3
54.0,Tiempo completo,Indefinido escrito,47723.0
81.0,Tiempo completo,Indefinido escrito,36026.5
